customer,mdn,sprint_plan,socs
M2M DataSmart,6462468435,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173341645,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6463160496,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6462813385,DSMDATA64,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6462283409,DSMDATA64,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6462710888,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9173095930,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176742055,DSMDATA64,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6466859270,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6466215476,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6462469948,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6462462857,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173348332,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173349244,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6462424989,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6462997254,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6464984704,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462634250,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6464181502,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462340338,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177214482,DSMDATA64,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,9176745970,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6463730564,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9174062802,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176863745,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
